coffee_id,Trait,Samples size,Number of SNPs,ncase,ncontrol,population,author,"	Consortium"
ukb-b-5237,coffee intake,"428,860","9,851,867",NA,NA,European,Ben Elsworth,MRC-IEU
ukb-b-9508,coffee consumed,"64,949","9,851,867","45,788",19161,European,Ben Elsworth,MRC-IEU
